description,go_BioProc,go_CellComp,go_MolFunc,proteinname
"ATP-binding protein required for mismatch repair in mitosis and meiosis; functions as a heterodimer with Mlh1p, binds double- and single-stranded DNA via its N-terminal domain, similar to E. coli MutL",meiotic mismatch repair:DNA repair:mismatch repair:cellular response to DNA damage stimulus:reciprocal meiotic recombination,nucleus:cytoplasm:MutLalpha complex,heteroduplex DNA loop binding:double-stranded DNA binding:single-stranded DNA binding:ATP binding:ATPase activity:mismatched DNA binding:DNA insertion or deletion binding:dinucleotide insertion or deletion binding,Pms1p
"RNA polymerase subunit ABC14.5, common to RNA polymerases I, II, and III","transcription, RNA-templated:transcription, DNA-templated:transcription from RNA polymerase I promoter:transcription from RNA polymerase II promoter:transcription from RNA polymerase III promoter:ribosome biogenesis:tRNA transcription from RNA polymerase III promoter","nucleus:DNA-directed RNA polymerase II, core complex:DNA-directed RNA polymerase III complex:DNA-directed RNA polymerase I complex",RNA polymerase I activity:RNA polymerase II activity:RNA polymerase III activity:DNA binding:DNA-directed 5'-3' RNA polymerase activity:RNA-directed 5'-3' RNA polymerase activity,Rpb8p
Putative membrane protein of unknown function; physically interacts with Hsp82p; YPL264C is not an essential gene,biological_process unknown,membrane:integral component of membrane,molecular_function unknown,YPL264C
Central kinetochore associated protein that mediates mitotic progression; interacts with several central kinetochore proteins and the centromeric histone Cse4p; role in resistance to oxidative stress; similarity to Ybp1p and Slk19p,mitotic spindle organization:mitotic spindle assembly checkpoint:cellular response to oxidative stress,condensed nuclear chromosome kinetochore:cytoplasm:CENP-A containing nucleosome,molecular_function unknown,Ybp2p
"Essential protein involved in karyogamy during mating and in spindle pole body duplication during mitosis, localizes to the half-bridge of the spindle pole body, interacts with Spc72p during karyogamy, also interacts with Cdc31p",karyogamy involved in conjugation with cellular fusion:cell cycle:spindle pole body duplication:cell division,cytoplasm:endoplasmic reticulum:spindle pole body:half bridge of spindle pole body:cytoskeleton:microtubule,protein binding,Kar1p
"High-affinity histidine permease, also involved in the transport of manganese ions",amino acid transmembrane transport:transport:manganese ion transport:amino acid transport:histidine transport:transmembrane transport:L-histidine transmembrane transport,vacuole:endoplasmic reticulum:plasma membrane:integral component of plasma membrane:membrane:integral component of membrane:cell periphery,high-affinity L-histidine transmembrane transporter activity:amino acid transmembrane transporter activity:antiporter activity,Hip1p
"Dubious open reading frame unlikely to encode a functional protein, based on available experimental and comparative sequence data",biological_process unknown,cellular_component unknown,nucleotide binding:molecular_function unknown:ATP binding,YGL034C
Protein of unknown function; interacts with both the Reg1p/Glc7p phosphatase and the Snf1p kinase,cellular response to glucose starvation,cytoplasm,molecular_function unknown,Sip5p
"Activator of Chs3p (chitin synthase III), recruits Chs3p to the bud neck via interaction with Bni4p; has similarity to Shc1p, which activates Chs3p during sporulation",cytokinesis:response to osmotic stress:fungal-type cell wall chitin biosynthetic process:positive regulation of catalytic activity,incipient cellular bud site:cellular bud neck septin ring:plasma membrane:cellular bud neck:membrane,enzyme activator activity,Skt5p
"Galactose-1-phosphate uridyl transferase, synthesizes glucose-1-phosphate and UDP-galactose from UDP-D-glucose and alpha-D-galactose-1-phosphate in the second step of galactose catabolism",carbohydrate metabolic process:galactose metabolic process:galactose catabolic process via UDP-galactose,cytoplasm,catalytic activity:UDP-glucose:hexose-1-phosphate uridylyltransferase activity:zinc ion binding:transferase activity:nucleotidyltransferase activity:metal ion binding,Gal7p
Putative protein of unknown function,biological_process unknown,endoplasmic reticulum:endoplasmic reticulum membrane:membrane:integral component of membrane,molecular_function unknown,YPR114W
"Translation initiation factor eIF-4B, has RNA annealing activity; contains an RNA recognition motif and binds to single-stranded RNA",formation of translation preinitiation complex:cytoplasmic translation:translation:translational initiation:eukaryotic translation initiation factor 4F complex assembly,ribosome:polysome:cytoplasmic stress granule:eukaryotic translation initiation factor 4F complex:cytosolic small ribosomal subunit,nucleotide binding:nucleic acid binding:RNA binding:single-stranded RNA binding:mRNA binding:translation initiation factor activity:RNA strand annealing activity:RNA strand-exchange activity:ribosomal small subunit binding,Tif3p
"3-deoxy-D-arabino-heptulosonate-7-phosphate (DAHP) synthase, catalyzes the first step in aromatic amino acid biosynthesis and is feedback-inhibited by phenylalanine or high concentration of tyrosine or tryptophan",response to stress:cellular amino acid biosynthetic process:biosynthetic process:aromatic amino acid family biosynthetic process:chorismate biosynthetic process,nucleus:cytoplasm:mitochondrion,catalytic activity:3-deoxy-7-phosphoheptulonate synthase activity:transferase activity,Aro3p
"Protein with a potential role in vacuolar function, as suggested by its ability to bind Vac8p; likely member of BLOC complex involved in endosomal cargo sorting; Vab2p-GFP-fusion localizes to cytoplasm in punctate patter",transport:endosome organization:biological_process unknown:regulation of protein localization,cytoplasm:vacuole:BLOC-1 complex:cytoplasmic vesicle,molecular_function unknown,Vab2p
Sporulation specific protein that localizes to the spore wall; required for sporulation at a point after meiosis II and during spore wall formation; SSP2 expression is induced midway in meiosis,sporulation resulting in formation of a cellular spore:ascospore formation:ascospore wall assembly:positive regulation of protein autophosphorylation,ascospore wall:prospore membrane:nucleus:spore wall,molecular_function unknown:nucleic acid binding,Ssp2p
"Protein that inhibits activation of Gcn2p, an eIF2 alpha subunit protein kinase, by competing for Gcn1p binding, thus impacting gene expression in response to starvation; has sequence and functional similarity to the mouse IMPACT gene",negative regulation of protein phosphorylation:regulation of translation:negative regulation of protein kinase activity,nucleus:cytoplasm:ribosome:polysome,actin binding:actin monomer binding:protein kinase inhibitor activity:ribosome binding,Yih1p
"Pheromone-regulated protein with 2 predicted transmembrane segments and an FF sequence, a motif involved in COPII binding; forms a complex with Prp9p in the ER; member of DUP240 gene family",transport:biological_process unknown:vesicle organization:vesicle-mediated transport,endoplasmic reticulum:Golgi apparatus:plasma membrane:membrane:integral component of membrane,molecular_function unknown,Prm8p
"Protein of unknown function, has sequence and structural similarity to flavodoxins; predicted to be palmitoylated; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies","biological_process unknown:negative regulation of transcription, DNA-templated:oxidation-reduction process",cytoplasm:mitochondrion:plasma membrane:membrane:membrane raft:cell periphery,NAD(P)H dehydrogenase (quinone) activity:electron carrier activity:FMN binding:oxidoreductase activity,Ycp4p
"Putative mitochondrial ribosomal protein of the large subunit, has similarity to E. coli L34 ribosomal protein; required for respiratory growth, as are most mitochondrial ribosomal proteins",translation:mitochondrial translation,intracellular:nucleus:cytoplasm:mitochondrion:mitochondrial large ribosomal subunit:ribosome:intracellular ribonucleoprotein complex,structural constituent of ribosome,Mrx14p
"Putative nucleotide sugar transporter, has similarity to Vrg4p",transport:carbohydrate transport:nucleotide-sugar transport:UDP-glucose transport,Golgi membrane:endoplasmic reticulum-Golgi intermediate compartment:Golgi apparatus:membrane:integral component of membrane:COPI-coated vesicle:COPI-coated vesicle membrane:cytoplasmic vesicle,nucleotide-sugar transmembrane transporter activity,Ymd8p
Predicted transporter of the mitochondrial inner membrane; has similarity to human mitochondrial ATP-Mg/Pi carriers; YMR166C is not an essential gene,transport:magnesium ion transport:transmembrane transport:magnesium ion export from mitochondrion,mitochondrion:mitochondrial inner membrane:membrane:integral component of membrane,transporter activity:magnesium ion transmembrane transporter activity,Mme1p
Middle sporulation-specific mitogen-activated protein kinase (MAPK) required for production of the outer spore wall layers; negatively regulates activity of the glucan synthase subunit Gsc2p,MAPK cascade:protein phosphorylation:regulation of cell shape:phosphorylation:sporulation resulting in formation of a cellular spore:ascospore wall assembly:negative regulation of sporulation resulting in formation of a cellular spore:protein autophosphorylation:cell wall organization,intracellular:mitochondrion,"nucleotide binding:protein kinase activity:protein serine/threonine kinase activity:MAP kinase activity:ATP binding:kinase activity:transferase activity:transferase activity, transferring phosphorus-containing groups",Smk1p
"Subunit of the structure-specific Mms4p-Mus81p endonuclease that cleaves branched DNA; involved in recombination, DNA repair, and joint molecule formation/resolution during meiotic recombination",resolution of meiotic recombination intermediates:DNA metabolic process:DNA topological change:DNA repair:double-strand break repair:DNA recombination:cellular response to DNA damage stimulus:reciprocal meiotic recombination:regulation of reciprocal meiotic recombination:replication fork processing:intra-S DNA damage checkpoint:meiotic cell cycle:nucleic acid phosphodiester bond hydrolysis,nuclear chromatin:nucleus:Holliday junction resolvase complex,DNA binding:transcription coactivator activity:nuclease activity:endonuclease activity:endodeoxyribonuclease activity:crossover junction endodeoxyribonuclease activity:hydrolase activity:metal ion binding,Mms4p
Putative protein of unknown function,biological_process unknown,cellular_component unknown,molecular_function unknown,YLR031W
"Signal transducing MAP kinase kinase involved in pheromone response, where it phosphorylates Fus3p, and in the pseudohyphal/invasive growth pathway, through phosphorylation of Kss1p; phosphorylated by Ste11p, degraded by ubiquitin pathway","MAPK cascade involved in cell wall organization or biogenesis:signal transduction involved in filamentous growth:invasive growth in response to glucose limitation:protein phosphorylation:pseudohyphal growth:regulation of transposition, RNA-mediated:phosphorylation:response to pheromone:MAPK cascade involved in conjugation with cellular fusion:activation of MAPK activity involved in conjugation with cellular fusion",cytoplasm:mating projection tip,"nucleotide binding:protein kinase activity:protein serine/threonine kinase activity:signal transducer, downstream of receptor, with serine/threonine kinase activity:MAP kinase kinase activity:ATP binding:kinase activity:transferase activity:transferase activity, transferring phosphorus-containing groups",Ste7p
Essential subunit of the histone deacetylase Rpd3S complex; interacts with Eaf3p,"transcription, DNA-templated:regulation of transcription, DNA-templated:transcription elongation from RNA polymerase II promoter:covalent chromatin modification:histone deacetylation:regulation of DNA-dependent DNA replication initiation:positive regulation of transcription from RNA polymerase II promoter:negative regulation of antisense RNA transcription:transfer RNA gene-mediated silencing",histone deacetylase complex:nucleus:Rpd3S complex:Rpd3L complex,RNA polymerase II regulatory region sequence-specific DNA binding:molecular_function unknown:chromatin binding:transcription cofactor activity:zinc ion binding:histone binding:metal ion binding,Rco1p
"Polyamine oxidase, converts spermine to spermidine, which is required for the essential hypusination modification of translation factor eIF-5A; also involved in pantothenic acid biosynthesis",polyamine catabolic process:pantothenate biosynthetic process:spermine catabolic process:oxidation-reduction process,cytoplasm,oxidoreductase activity:polyamine oxidase activity:spermine:oxygen oxidoreductase (spermidine-forming) activity:spermidine:oxygen oxidoreductase (3-aminopropanal-forming) activity:N1-acetylspermine:oxygen oxidoreductase (3-acetamidopropanal-forming) activity:N1-acetylspermidine:oxygen oxidoreductase (3-acetamidopropanal-forming) activity,Fms1p
"Specialized J-protein that functions with Hsp70 in Fe-S cluster biogenesis in mitochondria, involved in iron metabolism; contains a J domain typical to J-type chaperones; localizes to the mitochondrial matrix",protein folding:response to stress:aerobic respiration:iron-sulfur cluster assembly:protein oligomerization,mitochondrion:mitochondrial matrix,chaperone binding,Jac1p
"ATPase, putative RNA helicase of the DEAD-box family; component of 90S preribosome complex involved in production of 18S rRNA and assembly of 40S small ribosomal subunit; ATPase activity stimulated by association with Esf2p","endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA):endonucleolytic cleavage to generate mature 5'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA):endonucleolytic cleavage in 5'-ETS of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA):rRNA processing:RNA secondary structure unwinding:ribosome biogenesis",nucleus:nucleolus:90S preribosome,nucleotide binding:nucleic acid binding:RNA binding:ATP-dependent RNA helicase activity:helicase activity:ATP binding:ATP-dependent helicase activity:hydrolase activity:ATPase activity,Dbp8p
"GTPase-activating protein for the polarity-establishment protein Cdc42p; implicated in control of septin organization, pheromone response, and haploid invasive growth; regulated by Pho85p and Cdc28p",pheromone-dependent signal transduction involved in conjugation with cellular fusion:invasive growth in response to glucose limitation:actin filament organization:budding cell apical bud growth:budding cell isotropic bud growth:pseudohyphal growth:signal transduction:small GTPase mediated signal transduction:establishment of cell polarity:septin ring organization:regulation of GTPase activity:positive regulation of GTPase activity,intracellular:cellular bud neck split septin rings,GTPase activator activity:zinc ion binding:metal ion binding,Rga2p
"Nuclear actin-related protein involved in chromatin remodeling, component of chromatin-remodeling enzyme complexes","chromatin remodeling:transcription, DNA-templated:regulation of transcription, DNA-templated:DNA duplex unwinding:nucleosome mobilization",nucleus:Ino80 complex,ATP-dependent 3'-5' DNA helicase activity,Arp5p
"High affinity uridine permease, localizes to the plasma membrane; also mediates low but significant transport of the cytotoxic nucleoside analog 5-fluorouridine; not involved in uracil transport",transport:nucleobase transport:uridine transport:transmembrane transport,fungal-type vacuole:plasma membrane:membrane:integral component of membrane:cell periphery,transporter activity:nucleobase transmembrane transporter activity:uridine transmembrane transporter activity,Fui1p
Peroxin required for targeting of peroxisomal matrix proteins containing PTS2; interacts with Pex7p; partially redundant with Pex18p,protein import into peroxisome matrix:positive regulation of protein binding:positive regulation of binding,cytoplasm:peroxisome:peroxisomal membrane:cytosol:membrane,protein binding,Pex21p
"Multidrug transporter of the major facilitator superfamily, required for resistance to quinidine, barban, cisplatin, and bleomycin; may have a role in potassium uptake",transport:ion transport:potassium ion transport:drug transmembrane transport:potassium ion import:transmembrane transport:copper ion export,plasma membrane:integral component of plasma membrane:membrane:integral component of membrane:cell periphery,transporter activity:cation transmembrane transporter activity:drug transmembrane transporter activity,Qdr2p
Protein component of the small (40S) ribosomal subunit; nearly identical to Rps10Bp and has similarity to rat ribosomal protein S10,ribosomal small subunit assembly:cytoplasmic translation:rRNA export from nucleus,cytoplasm:ribosome:cytosolic small ribosomal subunit:intracellular ribonucleoprotein complex,structural constituent of ribosome,Rps10ap
Protein involved in establishment of cell polarity and bud emergence; interacts with the Rho1p small GTP-binding protein and with the Rho-type GTPase Cdc42p; involved in maintenance of proper telomere length,Rho protein signal transduction:response to pheromone:establishment of cell polarity:actin cytoskeleton organization:positive regulation of GTPase activity,nucleus:cytoplasm:cytosol,molecular_function unknown:GTPase activator activity,Bem4p
Zinc-cluster protein; GFP-fusion protein localizes to the nucleus; mutant shows moderate growth defect on caffeine; has a prion-domain like fragment that increases frequency of [URE3]; YLR278C is not an essential gene,"transcription, DNA-templated:regulation of transcription, DNA-templated:regulation of transcription from RNA polymerase II promoter:transcription from RNA polymerase II promoter:biological_process unknown",nucleus,"RNA polymerase II transcription factor activity, sequence-specific DNA binding:DNA binding:zinc ion binding:sequence-specific DNA binding:metal ion binding",YLR278C
"Essential component of the nuclear pore complex, which mediates nuclear import and export, found in both the Nup82 and Nic96 complexes",ribosomal large subunit export from nucleus:ribosomal small subunit export from nucleus:tRNA export from nucleus:protein import into nucleus:NLS-bearing protein import into nucleus:transport:cell cycle:protein transport:poly(A)+ mRNA export from nucleus:mRNA transport:ncRNA export from nucleus,nucleus:nuclear pore:membrane:integral component of membrane:nuclear membrane:nuclear periphery:nuclear pore central transport channel:nuclear pore nuclear basket,nucleocytoplasmic transporter activity:phospholipid binding:structural constituent of nuclear pore,Nsp1p
"Essential, non-ATPase regulatory subunit of the 26S proteasome lid required for the assembly and activity of the 26S proteasome; the human homolog (S9 protein) partially rescues Rpn6p depletion",ubiquitin-dependent protein catabolic process:proteasome assembly,"proteasome complex:proteasome regulatory particle, lid subcomplex:proteasome storage granule",structural molecule activity,Rpn6p
Specific translational activator for the mitochondrial COX1 mRNA; loosely associated with the matrix face of the mitochondrial inner membrane; influences both COX1 mRNA translation and Cox1p assembly into cytochrome c oxidase,mRNA processing:RNA splicing:positive regulation of mitochondrial translation:mitochondrial respiratory chain complex IV biogenesis,mitochondrion:mitochondrial inner membrane:vacuolar membrane:membrane:extrinsic component of mitochondrial inner membrane,translation regulator activity,Mss51p
Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm and is induced in response to the DNA-damaging agent MMS,response to endoplasmic reticulum stress:endoplasmic reticulum tubular network organization,cytoplasm:endoplasmic reticulum:endoplasmic reticulum membrane:membrane:integral component of membrane:endoplasmic reticulum tubular network,molecular_function unknown:metal ion binding,Lnp1p
"Regulator of ornithine decarboxylase (Spe1p), antizyme that binds to Spe1p to regulate ubiquitin-independent degradation; ribosomal frameshifting during synthesis of Oaz1p and its ubiquitin-mediated degradation are both polyamine-regulated",negative regulation of catalytic activity:regulation of proteasomal protein catabolic process:negative regulation of translational frameshifting,cytoplasm,ornithine decarboxylase inhibitor activity,Oaz1p
Putative protein of unknown function with similarity to asparagine synthetases; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm; YML096W is not an essential gene and partially overlaps the verified gene RAD10,asparagine biosynthetic process:glutamine metabolic process:biological_process unknown:metabolic process:cellular amino acid biosynthetic process,cytoplasm:cytosol,molecular_function unknown:asparagine synthase (glutamine-hydrolyzing) activity:protein homodimerization activity,YML096W
Non-essential protein of unknown function,biological_process unknown:cell wall organization,cellular_component unknown,molecular_function unknown,Ecm9p
"Highly conserved, iron-sulfur cluster binding protein localized in the cytoplasm; forms a complex with Nbp35p that is involved in iron-sulfur protein assembly in the cytosol",tRNA wobble uridine modification:iron-sulfur cluster assembly,cytoplasm:Nbp35-Cfd1 ATPase complex,"nucleotide binding:ATP binding:ATPase activity:metal ion binding:iron-sulfur cluster binding:4 iron, 4 sulfur cluster binding",Cfd1p
"Mitochondrial 5'-3' exonuclease and sliding exonuclease, required for mitochondrial genome maintenance; distantly related to the RecB nuclease domain of bacterial RecBCD recombinases; may be regulated by the transcription factor Ace2",mitochondrial genome maintenance:DNA metabolic process:nucleic acid phosphodiester bond hydrolysis,mitochondrion,"DNA binding:nuclease activity:exonuclease activity:hydrolase activity:single-stranded DNA 5'-3' exodeoxyribonuclease activity:metal ion binding:iron-sulfur cluster binding:4 iron, 4 sulfur cluster binding",Exo5p
Arginine N5 methyltransferase; methylates ribosomal protein Rpl12 (L12) on Arg67,peptidyl-arginine methylation:methylation:peptidyl-arginine N-methylation:S-adenosylhomocysteine metabolic process:S-adenosylmethionine metabolic process,nucleus:cytoplasm,methyltransferase activity:protein-arginine N-methyltransferase activity:transferase activity:protein-arginine N5-methyltransferase activity,Rmt2p
"Protein with RNA-binding motifs required for meiosis-specific mRNA splicing; required for chromosome pairing and meiotic recombination; Mer1p regulon embraces four essential meiotic pre-mRNAs: REC107, HFM1, AMA1 and SPO22","reciprocal meiotic recombination:positive regulation of mRNA splicing, via spliceosome:meiotic cell cycle",nucleus:U1 snRNP,nucleic acid binding:RNA binding:mRNA binding,Mer1p
"Protein that interacts with Myo2p, proposed to be involved in exocytosis; N-terminal domain is related to the motor domain of kinesins",exocytosis:vesicle docking involved in exocytosis:microtubule-based movement,incipient cellular bud site:cytoplasm:cytoskeleton:microtubule:microtubule associated complex:cellular bud tip:cellular bud neck:mating projection tip,nucleotide binding:motor activity:microtubule motor activity:protein binding:ATP binding:microtubule binding,Smy1p
"Protein required for function of the Sit4p protein phosphatase, member of a family of similar proteins that form complexes with Sit4p, including Sap155p, Sap185p, and Sap190p",G1/S transition of mitotic cell cycle:protein dephosphorylation:cell cycle,cytoplasm:mitochondrion,protein serine/threonine phosphatase activity,Sap4p
Cys-Gly metallo-di-peptidase; forms a complex with Dug2p and Dug3p to degrade glutathione (GSH) and other peptides containing a gamma-glu-X bond in an alternative pathway to GSH degradation by gamma-glutamyl transpeptidase (Ecm38p),proteolysis:glutathione catabolic process:metabolic process,cytoplasm:mitochondrion:ribosome,peptidase activity:metallopeptidase activity:omega peptidase activity:zinc ion binding:hydrolase activity:dipeptidase activity:tripeptidase activity:metal ion binding:metallodipeptidase activity,Dug1p
"Subunit 6 of the ubiquinol cytochrome-c reductase complex, which is a component of the mitochondrial inner membrane electron transport chain; highly acidic protein; required for maturation of cytochrome c1","mitochondrial electron transport, ubiquinol to cytochrome c:aerobic respiration:electron transport chain:oxidation-reduction process:hydrogen ion transmembrane transport",mitochondrion:mitochondrial inner membrane:mitochondrial respiratory chain complex III:mitochondrial intermembrane space:membrane:integral component of membrane:nuclear periphery:respiratory chain,ubiquinol-cytochrome-c reductase activity,Qcr6p
Putative protein of unknown function; null mutant is sensitive to expression of the top1-T722A allele,biological_process unknown,endoplasmic reticulum:membrane:integral component of membrane,molecular_function unknown,Tda4p
"Mitochondrial mitophagy-specific protein; required primarily for mitophagy induced at the post-log phase; not required for other types of selective autophagy or macroautophagy; conserved within fungi, but not in higher eukaryotes",mitophagy:autophagy:macroautophagy,mitochondrion:membrane:integral component of membrane:mitochondrial membrane,molecular_function unknown,Atg33p
"Subunit of the Nup84p subcomplex of the nuclear pore complex (NPC); required for even distribution of NPCs around the nuclear envelope, involved in establishment of a normal nucleocytoplasmic concentration gradient of the GTPase Gsp1p; the Nup84 subcomplex has a role in transcription elongation","ribosomal large subunit export from nucleus:negative regulation of transcription from RNA polymerase II promoter:posttranscriptional tethering of RNA polymerase II gene DNA at nuclear periphery:double-strand break repair:mRNA export from nucleus:protein import into nucleus:protein export from nucleus:transport:protein transport:nuclear pore distribution:mRNA export from nucleus in response to heat stress:telomere tethering at nuclear periphery:maintenance of chromatin silencing at telomere:positive regulation of transcription, DNA-templated:positive regulation of transcription from RNA polymerase II promoter:mRNA transport","chromosome, telomeric region:nucleus:nuclear pore:membrane:integral component of membrane:nuclear pore outer ring:nuclear membrane",nucleocytoplasmic transporter activity:structural constituent of nuclear pore,Nup120p
"Essential SNARE protein localized to the ER, involved in retrograde traffic from the Golgi to the ER; forms a complex with the SNAREs Sec22p, Sec20p and Ufe1p","transport:retrograde vesicle-mediated transport, Golgi to ER:protein transport:vesicle-mediated transport:vesicle fusion with endoplasmic reticulum",endoplasmic reticulum:endoplasmic reticulum membrane:membrane:integral component of membrane:SNARE complex:integral component of cytoplasmic side of endoplasmic reticulum membrane,SNAP receptor activity,Use1p
Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to both the cytoplasm and the nucleus,biological_process unknown,nucleus:cytoplasm,molecular_function unknown,YJR056C
"Seipin protein involved in lipid droplet morphology, number, and size; proposed to be involved in lipid metabolism; related to the human BSCL2 which is associated with lipodystrophy",lipid metabolic process:lipid particle organization,endoplasmic reticulum:endoplasmic reticulum membrane:membrane:integral component of membrane:integral component of endoplasmic reticulum membrane:cortical endoplasmic reticulum,molecular_function unknown,Sei1p
Putative component of the protein phosphatase type 2A complex,biological_process unknown,nucleus:cytoplasm,molecular_function unknown,Rts3p
Kinesin-related motor protein involved in mitotic spindle positioning,establishment of mitotic spindle orientation:microtubule-based movement:mitotic spindle organization in nucleus:nuclear migration along microtubule:negative regulation of microtubule polymerization:regulation of mitotic spindle elongation:mitotic spindle disassembly:plus-end specific microtubule depolymerization:mitotic spindle assembly,cytoplasm:cytoskeleton:kinesin complex:microtubule:microtubule associated complex:nuclear microtubule:cytoplasmic microtubule,"nucleotide binding:microtubule motor activity:ATP binding:microtubule binding:ATP-dependent microtubule motor activity, plus-end-directed:tubulin-dependent ATPase activity",Kip3p
"Geranylgeranyl diphosphate synthase, increases the intracellular pool of geranylgeranyl diphosphate, suppressor of bet2 mutation that causes defective geranylgeranylation of small GTP-binding proteins that mediate vesicular traffic",transport:isoprenoid biosynthetic process:protein transport:terpenoid biosynthetic process:carotenoid biosynthetic process:geranyl diphosphate biosynthetic process:geranylgeranyl diphosphate biosynthetic process:farnesyl diphosphate biosynthetic process,cytoplasm:mitochondrion,dimethylallyltranstransferase activity:farnesyltranstransferase activity:geranyltranstransferase activity:transferase activity:metal ion binding,Bts1p
"Basic leucine zipper (bZIP) transcription factor (ATF/CREB1 homolog) that regulates the unfolded protein response, via UPRE binding, and membrane biogenesis; ER stress-induced splicing pathway facilitates efficient Hac1p synthesis","transcription, DNA-templated:regulation of transcription, DNA-templated:response to unfolded protein:positive regulation of transcription from RNA polymerase II promoter involved in unfolded protein response:negative regulation of transcription from RNA polymerase II promoter involved in meiotic cell cycle:endoplasmic reticulum unfolded protein response:response to endoplasmic reticulum stress:positive regulation of transcription from RNA polymerase II promoter",nucleus,"RNA polymerase II regulatory region sequence-specific DNA binding:RNA polymerase II transcription factor activity, sequence-specific DNA binding:DNA binding:transcription factor activity, sequence-specific DNA binding:sequence-specific DNA binding",Hac1p
"Subunit of the SEA (Seh1-associated) complex, a coatomer-related complex that associates dynamically with the vacuole; has an N-terminal CDC48-like domain and a C-terminal DEP domain; central region is readily accessible to proteases",transport:biological_process unknown:positive regulation of autophagy:protein transport:negative regulation of TOR signaling:cellular response to amino acid starvation:intracellular signal transduction:positive regulation of GTPase activity:negative regulation of small GTPase mediated signal transduction:regulation of autophagosome assembly,fungal-type vacuole membrane:vacuole:vacuolar membrane:membrane:Seh1-associated complex:extrinsic component of fungal-type vacuolar membrane:GATOR1 complex,molecular_function unknown:GTPase activator activity,Iml1p
Golgi membrane protein with similarity to mammalian CASP; genetic interactions with GOS1 (encoding a Golgi snare protein) suggest a role in Golgi function,transport:intra-Golgi vesicle-mediated transport:Golgi vesicle transport,Golgi membrane:Golgi apparatus:membrane:integral component of membrane:integral component of Golgi membrane,molecular_function unknown,Coy1p
Putative protein of unknown function; mutation results in impaired mitochondrial respiration,biological_process unknown,cellular_component unknown,molecular_function unknown,YJR079W
"High affinity polyamine permease, preferentially uses spermidine over putrescine; expression is down-regulated by osmotic stress; plasma membrane carnitine transporter, also functions as a low-affinity amino acid permease",amino acid transmembrane transport:fatty acid metabolic process:transport:amino acid transport:response to osmotic stress:L-amino acid transport:polyamine transport:carnitine transport:transmembrane transport:positive regulation of polyamine transmembrane transport:positive regulation of (R)-carnitine transmembrane transport:L-alpha-amino acid transmembrane transport,fungal-type vacuole membrane:endoplasmic reticulum:endoplasmic reticulum membrane:integral component of plasma membrane:membrane:integral component of membrane,molecular_function unknown:amino acid transmembrane transporter activity:L-amino acid transmembrane transporter activity:polyamine transmembrane transporter activity:carnitine transmembrane transporter activity:antiporter activity,Agp2p
"Non-classical phosphatidylinositol transfer protein (PITP); exhibits PI- but not PC-transfer activity; localizes to the peripheral endoplasmic reticulum, cytosol and microsomes; similar to Sec14p",transport:lipid transport:phospholipid transport:regulation of exocytosis:Golgi to plasma membrane protein transport:phosphatidylinositol metabolic process:regulation of establishment of cell polarity,fungal-type vacuole membrane:nucleus:cytoplasm:endoplasmic reticulum:endoplasmic reticulum membrane:cytosol:plasma membrane:membrane:organelle membrane:cortical endoplasmic reticulum:intracellular membrane-bounded organelle:cell periphery,phosphatidylcholine transporter activity:phosphatidylinositol transporter activity,Sfh5p
"Poly(A+) RNA-binding protein, involved in the export of mRNAs from the nucleus to the cytoplasm; similar to Gbp2p and Npl3p",poly(A)+ mRNA export from nucleus:nuclear mRNA surveillance,nucleus:cytoplasm:integral component of membrane,nucleotide binding:nucleic acid binding:RNA binding:mRNA binding,Hrb1p
Pheromone-regulated protein required for nuclear envelope fusion during karyogamy; localizes to the outer face of the nuclear membrane; interacts with Kar5p at the spindle pole body,karyogamy involved in conjugation with cellular fusion:nuclear membrane fusion involved in karyogamy,nucleus:nuclear envelope:nuclear outer membrane:cytoplasm:spindle pole body:cytoskeleton:membrane:integral component of membrane:extrinsic component of nuclear outer membrane:nuclear periphery,molecular_function unknown,Prm3p
"Protein involved in microtubule morphogenesis, required for protection from excess free beta-tubulin; proposed to be involved the folding of beta-tubulin; similar to mouse beta-tubulin cofactor A",tubulin complex assembly:post-chaperonin tubulin folding pathway,cytoplasm:cytoskeleton:microtubule,tubulin binding:beta-tubulin binding:unfolded protein binding,Rbl2p
"Translation termination factor eRF3, has a role in mRNA deadenylation and decay; altered protein conformation creates the [PSI(+)] prion that alters translational fidelity and results in a nonsense suppressor phenotype","nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay:cytoplasmic translational termination:translation:translational termination",cytoplasm:cytosol:cytoplasmic stress granule:translation release factor complex,nucleotide binding:mRNA binding:translation release factor activity:GTPase activity:GTP binding,Sup35p
